Цена за квадрат,Этаж,Общая,Метро,Цена,Этажность здания,Широта дома,Долгота дома,Широта метро,Долгота метро,До центра,До метро,Азимут
420000.0,22,93.16,Владыкино,39127200.0,31,55.8300509,37.5928875,55.848161,37.5904553,8.693581601438405,2.0221083659007597,294.945
472500.0,9,49.9,Спартак,23577750.0,22,55.8265766,37.45232439999999,55.818146,37.435894,13.342663492138627,1.3934226998784656,341.089
219821.0,18,62.46,Новохохловская,13730000.0,24,55.7279644,37.711343,55.7240051,37.7165642,6.349818060366888,0.5494962949939286,167.331
277924.0,6,76.1,Отрадное,21150000.0,22,55.8729467,37.5913071,55.863397,37.604619,13.418456499451885,1.3509474385505775,287.488
369723.0,2,68.7,Ботанический сад,25400000.0,19,55.852034,37.6250056,55.845341,37.63871,10.962858707271154,1.1367280646808557,267.112
575000.0,10,67.9,Белорусская,39042500.0,17,55.7795813,37.5812464,55.776805,37.58323499999999,3.8219063389005234,0.33334401854988915,332.647
1000000.0,6,75.6,Арбатская,75600000.0,8,55.7499821,37.5927893,55.75182599999999,37.600904,1.8184036138287465,0.5493518295575325,5.786
400000.0,11,101.3,Спартак,40520000.0,22,55.8265766,37.45232439999999,55.818146,37.435894,13.342663492138627,1.3934226998784656,341.089
487900.0,10,29.3,Москва-Товарная,14295470.0,13,55.7514413,37.6862877,55.7452407,37.6885679,4.104536155161436,0.7050514026872536,178.503
485000.0,43,162.24,Дмитровская,78686400.0,43,55.8007989,37.5755736,55.80749789999999,37.5814807,5.979790135396319,0.8327737922136262,320.569
549191.0,1,30.9,Александровский сад,16970000.0,5,55.75541219999999,37.59610470000001,55.752425,37.608605,1.578088323981815,0.8524351451522902,356.695
411000.0,2,46.33,Воронцовская,19041630.0,25,55.6624456,37.536584,55.658941,37.539119,11.452843046582226,0.4215466495501695,40.516
463529.0,4,51.0,Савеловская,23640000.0,9,55.79390919999999,37.6105443,55.792585,37.588966,4.536480939862764,1.36151466553522,288.192
775529.0,21,51.1,Парк Победы,39629532.0,32,55.7346085,37.5242363,55.73588480000001,37.5174924,6.436182419792474,0.446839178081357,8.831
306414.0,2,60.8,Спартак,18630000.0,24,55.8209945,37.4308288,55.818146,37.435894,14.0958267426943,0.4487657319401225,344.323
1058824.0,6,113.7,Арбатская,120388235.0,8,55.7499821,37.5927893,55.75182599999999,37.600904,1.8184036138287465,0.5493518295575325,5.786
732048.0,27,68.3,Парк Победы,49998878.0,32,55.7346085,37.5242363,55.73588480000001,37.5174924,6.436182419792474,0.446839178081357,8.831
386000.0,3,45.34,Фонвизинская,17501240.0,31,55.8300509,37.5928875,55.823139,37.587435,8.693581601438405,0.8420194056904268,294.945
318480.0,20,85.5,Беговая,27230000.0,32,55.7749737,37.5499109,55.77325570000001,37.5486043,5.059250522632462,0.2081127007719276,346.608
585972.0,3,52.8,Белорусская,30939321.0,10,55.7795813,37.5812464,55.776805,37.58323499999999,3.8219063389005234,0.33334401854988915,332.647
380958.0,2,60.4,Шелепиха,23009850.0,33,55.7603592,37.5190412,55.7566971,37.525776,6.447434395138087,0.5873829533022215,356.993
328278.0,2,38.9,Лесопарковая,12770000.0,23,55.583682,37.5817139,55.582108,37.576746,19.07849186238825,0.35897124269259567,73.667
308929.0,7,56.0,Домодедовская,17300000.0,25,55.6015127,37.7291839,55.610867,37.718751,18.24815086477516,1.2316632921767645,131.893
549729.0,5,90.87,Павелецкая,49953877.0,19,55.786659,37.574433,55.731953,37.637237,4.701604419822452,7.255625164053065,330.666
238512.0,2,45.7,Зябликово,10900000.0,9,55.6024226,37.7364588,55.612052,37.745006,18.330601414953755,1.199809875643079,133.926
252615.0,3,63.1,Москворечье,15940000.0,14,55.6362509,37.6787603,55.6466044,37.6500868,13.559631634843523,2.1421350441753972,121.819
503968.0,9,36.4,Шелепиха,18344433.0,32,55.76053719999999,37.5189592,55.7566971,37.525776,6.454876028673926,0.6049391293211245,356.916
365000.0,9,99.6,Стрешнево,36354000.0,21,55.80842,37.480699,55.813728,37.48699,10.714035724758222,0.7105165802934744,342.807
460800.0,8,75.62,Воронцовская,34845696.0,12,55.6614255,37.5316831,55.658941,37.539119,11.69838954316508,0.5436427144872709,39.24
396384.0,10,121.1,Электрозаводская,48002102.0,10,55.7794435,37.69794,55.7811743,37.7050092,5.620202387183507,0.48361678677345493,194.907
406950.0,36,83.12,Селигерская,33825684.0,43,55.860806,37.5431316,55.866689,37.547104,12.897410104345427,0.7006419209614205,312.549
700000.0,3,316.1,Смоленская,221270000.0,5,55.748779,37.5897249,55.74726099999999,37.581945,2.0376209517860158,0.5169702114649046,6.947
747458.0,9,177.0,Динамо,132300000.0,10,55.7883316,37.5678188,55.789751,37.558177,5.109877522842013,0.6251557401347139,332.661
430000.0,5,75.2,Фили,32336000.0,41,55.7438993,37.5084528,55.74613,37.514819,7.15150826634301,0.4706755944123609,3.902
307339.0,8,65.4,Красный Балтиец,20100000.0,14,55.81901089999999,37.5157601,55.815456,37.52599,9.831749415597745,0.7535889918401214,333.798
619455.0,8,148.5,Шаболовская,91989103.0,8,55.7136907,37.6129867,55.71823190000001,37.6090757,4.471472673288958,0.562186256329196,75.709
334240.0,2,44.1,Тульская,14740000.0,9,55.7084297,37.6388529,55.708907,37.6246697,5.1517115199428885,0.8931567369695737,116.471
475652.0,17,48.47,Фили,23054852.0,57,55.75118020000001,37.50820849999999,55.74613,37.514819,7.089347745114669,0.6989122830594691,0.971
600000.0,11,50.0,Белорусская,30000000.0,20,55.786429,37.58627,55.776805,37.58323499999999,4.257188317419858,1.0883053161805316,323.201
395006.0,11,244.3,Беломорская,96500000.0,11,55.8695283,37.4580541,55.8640574,37.4638078,16.462662961069867,0.7076694567332628,330.61
539017.0,7,61.1,Лужники,32933969.0,41,55.7321368,37.5387203,55.720935,37.560056,5.694991269763314,1.8310078302740271,11.667
219694.0,12,45.7,Улица Академика Янгеля,10040000.0,12,55.5913906,37.6510484,55.59499599999999,37.6017376,18.157658995966905,3.1346831125113654,103.104
401441.0,3,34.7,Серпуховская,13930000.0,9,55.7174416,37.6314488,55.72719799999999,37.625253,4.078063638270129,1.1539135085791343,109.982
411000.0,2,46.33,Воронцовская,19041630.0,25,55.6624456,37.536584,55.658941,37.539119,11.452843046582226,0.4215466495501695,40.516
213974.0,1,45.8,Красный Строитель,9800000.0,12,55.6004715,37.61875149999999,55.5895513,37.6141812,17.04875271420392,1.2494695078218614,88.877
549689.0,13,44.75,Автозаводская,24598582.0,16,55.7054831,37.6377913,55.707632,37.657674,5.459150090520767,1.2726117240224644,113.728
552448.0,16,71.5,Давыдково,39500000.0,25,55.7138716,37.4749307,55.727085,37.469486,10.188178269557586,1.5104024414798354,12.153
377058.0,16,33.2,Селигерская,12518325.0,36,55.860806,37.5431316,55.866689,37.547104,12.897410104345427,0.7006419209614205,312.549
673077.0,11,104.0,Минская,70000000.0,22,55.7138716,37.4749307,55.724791,37.496755,10.188178269557586,1.8327834577990298,12.153
610860.0,14,88.4,Славянский бульвар,54000000.0,25,55.71584,37.474561,55.7304105,37.4724634,10.115883803301983,1.627578697213495,11.539
827667.0,4,226.9,Арбатская,187797647.0,8,55.7499821,37.5927893,55.75182599999999,37.600904,1.8184036138287465,0.5493518295575325,5.786
715096.0,8,88.1,Давыдково,63000000.0,25,55.7138716,37.4749307,55.727085,37.469486,10.188178269557586,1.5104024414798354,12.153
367618.0,30,74.2,Мичуринский проспект,27277226.0,36,55.6885024,37.4715488,55.689425,37.483,11.86435440981243,0.7274878487168532,19.028
714286.0,2,16.8,Выставочная,12000000.0,5,55.75638799999999,37.548756,55.750223,37.541479,4.5485661734918414,0.8245687503550423,358.247
664179.0,7,134.0,Минская,89000000.0,26,55.7138716,37.4749307,55.724791,37.496755,10.188178269557586,1.8327834577990298,12.153
445000.0,2,23.82,Владыкино,10599900.0,31,55.8300509,37.5928875,55.848161,37.5904553,8.693581601438405,2.0221083659007597,294.945
456856.0,3,31.95,Дмитровская,14596549.0,36,55.8007989,37.5755736,55.80749789999999,37.5814807,5.979790135396319,0.8327737922136262,320.569
657343.0,13,71.5,Давыдково,47000000.0,25,55.7138716,37.4749307,55.727085,37.469486,10.188178269557586,1.5104024414798354,12.153
652045.0,16,168.7,Давыдково,110000000.0,26,55.7138716,37.4749307,55.727085,37.469486,10.188178269557586,1.5104024414798354,12.153
550400.0,5,42.7,Белорусская,23502080.0,15,55.7795813,37.5812464,55.776805,37.58323499999999,3.8219063389005234,0.33334401854988915,332.647
705769.0,14,104.0,Минская,73400000.0,22,55.7138716,37.4749307,55.724791,37.496755,10.188178269557586,1.8327834577990298,12.153
806658.0,9,145.0,Динамо,116965383.0,10,55.7883316,37.5678188,55.789751,37.558177,5.109877522842013,0.6251557401347139,332.661
750000.0,2,20.0,Выставочная,15000000.0,5,55.75638799999999,37.548756,55.750223,37.541479,4.5485661734918414,0.8245687503550423,358.247
532050.0,26,105.7,Хорошево,56237685.0,44,55.764812,37.510018,55.7750796,37.4770716,7.080422513475669,2.3627699745448303,355.424
651163.0,21,86.0,Минская,56000000.0,22,55.7138716,37.4749307,55.724791,37.496755,10.188178269557586,1.8327834577990298,12.153
1067773.0,10,195.57,Парк Победы,208824423.0,10,55.73134229999999,37.5149497,55.73588480000001,37.5174924,7.108387531833089,0.5303741348747042,9.433
655509.0,5,143.4,Славянский бульвар,94000000.0,26,55.7138716,37.4749307,55.7304105,37.4724634,10.188178269557586,1.8479034943007566,12.153
843829.0,28,175.7,Парк Победы,148260755.0,32,55.7346085,37.5242363,55.73588480000001,37.5174924,6.436182419792474,0.446839178081357,8.831
633641.0,2,86.8,Славянский бульвар,55000000.0,26,55.7138716,37.4749307,55.7304105,37.4724634,10.188178269557586,1.8479034943007566,12.153
666667.0,8,132.0,Давыдково,88000000.0,25,55.7138716,37.4749307,55.727085,37.469486,10.188178269557586,1.5104024414798354,12.153
625000.0,11,104.0,Минская,65000000.0,26,55.7138716,37.4749307,55.724791,37.496755,10.188178269557586,1.8327834577990298,12.153
215757.0,11,80.6,Ботанический сад,17390000.0,17,55.8485825,37.6226695,55.845341,37.63871,10.576237204127052,1.0676143457207283,268.781
704918.0,32,122.0,Ломоносовский проспект,86000000.0,36,55.7163434,37.503447,55.7068942,37.5132761,8.471258600154172,1.2200398909060326,14.086
347125.0,11,112.2,Минская,38947425.0,56,55.7060767,37.5138911,55.724791,37.496755,8.56156289453159,2.3454829014947673,19.354
461020.0,7,48.25,Автозаводская,22244215.0,19,55.7054831,37.6377913,55.707632,37.657674,5.459150090520767,1.2726117240224644,113.728
329454.0,10,42.1,Измайлово,13870000.0,20,55.7917182,37.7327683,55.7951194,37.7753283,8.197005465986987,2.696307867972792,195.123
539084.0,16,74.2,Шелепиха,40000000.0,36,55.762108,37.5108044,55.7566971,37.525776,6.984886753666338,1.1164085858016706,356.499
380346.0,31,40.46,Селигерская,15388799.0,36,55.860806,37.5431316,55.866689,37.547104,12.897410104345427,0.7006419209614205,312.549
575400.0,10,89.8,Панфиловская,51670920.0,14,55.8060316,37.5025737,55.7990141,37.4989172,9.451531303773699,0.8142688596479961,340.68
